i;nbseat;nb_added;execution_time
0;10;10;0.702
1;11;11;0.612
2;10;10;0.669
3;12;12;0.642
4;9;9;0.797
5;10;10;0.649
6;10;10;0.769
7;10;10;0.717
8;10;10;0.832
9;10;10;0.734
10;8;8;0.853
11;12;12;0.62
12;10;10;0.676
13;11;11;0.638
14;11;11;0.696
15;9;9;0.755
16;9;9;0.791
17;9;9;0.662
18;9;9;0.642
19;10;10;0.71
20;10;10;0.871
21;10;10;0.674
22;11;11;0.696
23;11;11;0.629
24;11;11;0.708
25;10;10;0.75
26;10;10;0.656
27;8;8;0.694
28;8;8;0.618
29;10;10;0.735
30;11;11;0.655
31;8;8;0.788
32;10;10;0.779
33;8;8;0.713
34;10;10;0.645
35;11;11;0.702
36;9;9;0.818
37;10;10;0.645
38;10;10;0.719
39;10;10;0.82
40;9;9;0.652
41;8;8;0.668
42;11;11;0.634
43;12;12;0.679
44;10;10;0.632
45;10;10;0.708
46;10;10;0.776
47;11;11;0.733
48;10;10;0.685
49;12;12;0.708
50;12;12;0.797
51;10;10;0.703
52;11;11;0.75
53;11;11;0.732
54;10;10;0.693
55;11;11;0.795
56;10;10;0.707
57;11;11;0.79
58;10;10;0.79
59;10;10;0.729
60;10;10;0.68
61;10;10;0.728
62;10;10;0.673
63;11;11;0.684
64;10;10;0.96
65;10;10;0.675
66;9;9;0.709
67;10;10;0.621
68;11;11;0.787
69;10;10;0.77
70;11;11;0.628
71;10;10;0.773
72;10;10;0.759
73;10;10;0.78
74;8;8;0.752
75;11;11;0.691
76;11;11;0.746
77;11;11;0.683
78;8;8;0.664
79;12;12;0.658
80;8;8;0.679
81;8;8;0.686
82;10;10;0.646
83;10;10;0.757
84;10;10;0.729
85;10;10;0.661
86;10;10;0.694
87;8;8;0.842
88;10;10;0.751
89;10;10;0.801
90;11;11;0.708
91;10;10;0.677
92;11;11;0.731
93;10;10;0.805
94;10;10;0.683
95;11;11;0.691
96;8;8;0.604
97;9;9;0.738
98;12;12;0.644
99;10;10;0.693
