i;nbseat;nb_added;execution_time
0;10;10;0.079
1;9;9;0.073
2;9;9;0.071
3;9;9;0.08
4;8;8;0.061
5;8;8;0.064
6;9;9;0.071
7;8;8;0.071
8;8;8;0.071
9;9;9;0.071
10;9;9;0.069
11;8;8;0.073
12;8;8;0.071
13;8;8;0.069
14;9;9;0.073
15;9;9;0.082
16;9;9;0.081
17;10;10;0.082
18;10;10;0.079
19;9;9;0.073
20;10;10;0.081
21;8;8;0.061
22;9;9;0.081
23;8;8;0.071
24;8;8;0.061
25;8;8;0.071
26;9;9;0.069
27;9;9;0.074
28;8;8;0.071
29;8;8;0.072
30;9;9;0.071
31;8;8;0.071
32;8;8;0.071
33;9;9;0.071
34;10;10;0.071
35;10;10;0.081
36;10;10;0.079
37;10;10;0.084
38;10;10;0.081
39;8;8;0.072
40;9;9;0.081
41;10;10;0.091
42;9;9;0.072
43;9;9;0.071
44;9;9;0.079
45;10;10;0.073
46;10;10;0.092
47;8;8;0.071
48;10;10;0.071
49;9;9;0.082
50;10;10;0.081
51;10;10;0.071
52;9;9;0.09
53;9;9;0.063
54;9;9;0.082
55;10;10;0.081
56;8;8;0.071
57;10;10;0.081
58;9;9;0.071
59;9;9;0.071
60;9;9;0.082
61;8;8;0.071
62;8;8;0.069
63;8;8;0.071
64;7;7;0.063
65;8;8;0.061
66;9;9;0.071
67;9;9;0.072
68;10;10;0.081
69;9;9;0.081
70;8;8;0.061
71;10;10;0.081
72;8;8;0.069
73;10;10;0.083
74;9;9;0.082
75;9;9;0.079
76;9;9;0.081
77;10;10;0.082
78;8;8;0.071
79;10;10;0.071
80;9;9;0.08
81;9;9;0.079
82;9;9;0.069
83;9;9;0.073
84;9;9;0.079
85;9;9;0.072
86;11;11;0.081
87;8;8;0.071
88;8;8;0.071
89;9;9;0.078
90;9;9;0.073
91;9;9;0.071
92;9;9;0.071
93;8;8;0.071
94;10;10;0.091
95;9;9;0.082
96;8;8;0.071
97;10;10;0.071
98;8;8;0.071
99;9;9;0.071
