i;nbseat;nb_added;execution_time
0;7;7;0.61
1;8;8;0.55
2;8;8;0.558
3;9;9;0.591
4;7;7;0.598
5;4;4;0.623
6;7;7;0.572
7;7;7;0.587
8;7;7;0.601
9;6;6;0.59
10;7;7;0.579
11;8;8;0.59
12;7;7;0.57
13;6;6;0.558
14;7;7;0.58
15;7;7;0.592
16;9;9;0.631
17;8;8;0.6
18;6;6;0.597
19;7;7;0.592
20;6;6;0.576
21;8;8;0.602
22;6;6;0.578
23;6;6;0.602
24;8;8;0.583
25;8;8;0.555
26;6;6;0.592
27;6;6;0.574
28;7;7;0.614
29;4;4;0.626
30;7;7;0.614
31;8;8;0.643
32;8;8;0.675
33;9;9;0.636
34;8;8;0.601
35;6;6;0.629
36;6;6;0.567
37;8;8;0.575
38;8;8;0.629
39;9;9;0.617
40;8;8;0.62
41;8;8;0.568
42;7;7;0.572
43;5;5;0.582
44;8;8;0.61
45;7;7;0.561
46;7;7;0.617
47;8;8;0.624
48;8;8;0.52
49;6;6;0.568
50;9;9;0.595
51;6;6;0.598
52;9;9;0.56
53;7;7;0.548
54;3;3;0.651
55;7;7;0.591
56;7;7;0.577
57;8;8;0.599
58;6;6;0.548
59;5;5;0.591
60;8;8;0.575
61;8;8;0.584
62;7;7;0.622
63;6;6;0.595
64;8;8;0.561
65;8;8;0.656
66;6;6;0.624
67;6;6;0.584
68;6;6;0.632
69;7;7;0.571
70;8;8;0.636
71;6;6;0.597
72;5;5;0.586
73;8;8;0.595
74;7;7;0.581
75;6;6;0.554
76;9;9;0.562
77;5;5;0.581
78;9;9;0.587
79;8;8;0.599
80;10;10;0.538
81;7;7;0.588
82;7;7;1.268
83;7;7;0.58
84;8;8;0.588
85;7;7;0.588
86;7;7;0.583
87;7;7;0.572
88;7;7;0.61
89;6;6;0.59
90;7;7;0.59
91;8;8;0.589
92;6;6;0.62
93;6;6;0.558
94;9;9;0.562
95;5;5;0.591
96;10;10;0.617
97;8;8;0.571
98;9;9;0.59
99;9;9;0.62
