i;nbseat;nb_added;execution_time
0;16;16;0.832
1;15;15;0.83
2;15;15;0.746
3;17;17;0.716
4;13;13;0.671
5;14;14;0.753
6;15;15;0.781
7;17;17;0.715
8;15;15;0.744
9;12;12;0.752
10;13;13;0.792
11;15;15;0.755
12;15;15;0.783
13;14;14;0.793
14;15;15;0.723
15;17;17;0.764
16;12;12;0.712
17;16;16;0.718
18;17;17;0.602
19;14;14;0.752
20;13;13;0.694
21;17;17;0.702
22;17;17;0.691
23;16;16;0.853
24;15;15;0.813
25;18;18;0.732
26;15;15;0.814
27;15;15;0.778
28;14;14;0.831
29;15;15;0.791
30;17;17;0.993
31;16;16;0.814
32;12;12;0.9
33;18;18;0.702
34;17;17;0.763
35;14;14;0.74
36;15;15;0.836
37;12;12;0.854
38;17;17;0.744
39;15;15;0.764
40;13;13;0.855
41;15;15;0.826
42;16;16;0.834
43;15;15;0.834
44;15;15;0.722
45;14;14;0.795
46;15;15;0.915
47;14;14;0.681
48;17;17;0.71
49;17;17;0.704
50;15;15;0.81
51;17;17;0.71
52;15;15;0.692
53;16;16;0.757
54;15;15;0.74
55;15;15;0.741
56;14;14;0.728
57;10;10;0.842
58;15;15;0.904
59;16;16;0.785
60;15;15;0.759
61;18;18;0.765
62;15;15;0.671
63;13;13;0.744
64;15;15;0.673
65;14;14;0.757
66;16;16;0.8
67;14;14;0.737
68;14;14;0.76
69;13;13;0.744
70;15;15;0.8
71;16;16;0.711
72;17;17;0.824
73;16;16;0.689
74;15;15;0.707
75;15;15;0.773
76;20;20;0.722
77;19;19;0.76
78;15;15;0.736
79;14;14;0.872
80;16;16;0.772
81;16;16;0.803
82;14;14;0.684
83;17;17;0.768
84;12;12;0.711
85;15;15;0.741
86;17;17;0.645
87;15;15;0.783
88;16;16;0.683
89;18;18;0.638
90;21;21;0.822
91;15;15;0.796
92;14;14;0.793
93;17;17;0.787
94;18;18;0.723
95;14;14;0.733
96;17;17;0.721
97;15;15;0.668
98;16;16;0.836
99;16;16;0.721
