i;nbseat;nb_added;execution_time
0;2;2;0.0
1;2;2;0.0
2;1;1;0.0
3;2;2;0.0
4;1;1;0.0
5;1;1;0.0
6;7;7;0.0
7;1;1;0.0
8;1;1;0.0
9;1;1;0.0
10;2;2;0.0
11;2;2;0.0
12;1;1;0.0
13;1;1;0.0
14;1;1;0.0
15;2;2;0.0
16;7;7;0.0
17;2;2;0.0
18;1;1;0.0
19;9;9;0.0
20;2;2;0.0
21;1;1;0.0
22;8;8;0.0
23;9;9;0.0
24;9;9;0.0
25;1;1;0.0
26;1;1;0.0
27;1;1;0.0
28;9;9;0.0
29;1;1;0.0
30;1;1;0.0
31;1;1;0.0
32;3;3;0.0
33;2;2;0.0
34;10;10;0.0
35;8;8;0.0
36;1;1;0.0
37;1;1;0.0
38;2;2;0.0
39;1;1;0.0
40;1;1;0.0
41;9;9;0.0
42;1;1;0.0
43;2;2;0.0
44;1;1;0.0
45;1;1;0.0
46;1;1;0.0
47;1;1;0.0
48;6;6;0.0
49;8;8;0.0
50;1;1;0.0
51;1;1;0.0
52;1;1;0.0
53;8;8;0.0
54;1;1;0.0
55;1;1;0.0
56;1;1;0.0
57;1;1;0.0
58;1;1;0.0
59;2;2;0.0
60;1;1;0.0
61;2;2;0.0
62;1;1;0.0
63;1;1;0.0
64;1;1;0.0
65;2;2;0.0
66;8;8;0.0
67;1;1;0.0
68;9;9;0.0
69;1;1;0.0
70;9;9;0.0
71;1;1;0.0
72;1;1;0.0
73;1;1;0.0
74;1;1;0.0
75;8;8;0.0
76;1;1;0.0
77;1;1;0.0
78;9;9;0.0
79;10;10;0.0
80;1;1;0.0
81;9;9;0.0
82;1;1;0.0
83;1;1;0.0
84;1;1;0.0
85;2;2;0.0
86;1;1;0.0
87;1;1;0.0
88;1;1;0.0
89;10;10;0.0
90;1;1;0.0
91;1;1;0.0
92;1;1;0.0
93;2;2;0.0
94;7;7;0.0
95;1;1;0.0
96;9;9;0.0
97;8;8;0.0
98;1;1;0.0
99;1;1;0.0
