i;nbseat;nb_added;execution_time
0;2;2;0.04
1;1;1;0.001
2;2;2;0.038
3;2;2;0.054
4;2;2;0.054
5;2;2;0.036
6;1;1;0.0
7;1;1;0.0
8;1;1;0.002
9;1;1;0.001
10;1;1;0.001
11;1;1;0.001
12;2;2;0.051
13;2;2;0.04
14;2;2;0.038
15;1;1;0.002
16;2;2;0.036
17;1;1;0.001
18;1;1;0.001
19;1;1;0.001
20;1;1;0.001
21;1;1;0.001
22;1;1;0.002
23;1;1;0.001
24;2;2;0.042
25;1;1;0.001
26;2;2;0.04
27;2;2;0.039
28;1;1;0.001
29;2;2;0.033
30;1;1;0.001
31;1;1;0.001
32;1;1;0.0
33;2;2;0.041
34;2;2;0.053
35;1;1;0.001
36;1;1;0.001
37;2;2;0.034
38;1;1;0.001
39;2;2;0.038
40;2;2;0.051
41;1;1;0.0
42;2;2;0.035
43;2;2;0.052
44;1;1;0.001
45;1;1;0.001
46;2;2;0.049
47;1;1;0.001
48;1;1;0.002
49;1;1;0.001
50;1;1;0.001
51;1;1;0.001
52;1;1;0.001
53;1;1;0.0
54;1;1;0.0
55;2;2;0.038
56;2;2;0.037
57;2;2;0.047
58;1;1;0.001
59;1;1;0.001
60;2;2;0.049
61;1;1;0.001
62;1;1;0.001
63;1;1;0.001
64;1;1;0.001
65;2;2;0.041
66;1;1;0.001
67;1;1;0.001
68;1;1;0.001
69;2;2;0.052
70;1;1;0.001
71;1;1;0.001
72;2;2;0.037
73;1;1;0.001
74;1;1;0.002
75;1;1;0.001
76;1;1;0.001
77;1;1;0.001
78;1;1;0.001
79;1;1;0.001
80;1;1;0.001
81;2;2;0.039
82;2;2;0.039
83;1;1;0.001
84;1;1;0.001
85;1;1;0.002
86;1;1;0.001
87;1;1;0.001
88;2;2;0.047
89;1;1;0.002
90;1;1;0.001
91;2;2;0.048
92;1;1;0.001
93;1;1;0.001
94;1;1;0.001
95;1;1;0.001
96;1;1;0.001
97;2;2;0.04
98;2;2;0.041
99;1;1;0.001
